1	Physics	Wartburg (marque)	68	The Wartburg was a car marque known for its East German manufactured models, but has its origins dating to 1898. The name derives from Wartburg Castle on one of the hills overlooking the town of Eisenach where the cars were made. From the 1950s, Wartburgs were a three-cylinder two-stroke engine with only seven major moving parts. Production ended in April 1991, and the factory was acquired by Opel.
2	Physics	Volkswagen	58	Volkswagen, shortened to VW, is a German automaker founded in 1937 by the German Labour Front, a Nazi labour union, and headquartered in Wolfsburg. It is the flagship marque of the Volkswagen Group, the largest automaker by worldwide sales in 2016 and 2017. The group's biggest market is in China, which delivers 40% of its sales and profits.
3	Physics	Trabant	130	The Trabant is an automobile which was produced from 1957 to 1990 by former East German car manufacturer VEB Sachsenring Automobilwerke Zwickau. It is often seen as symbolic of the former East Germany and the collapse of the Eastern Bloc in general. The Trabant had a duroplast body mounted on a one-piece steel chassis, front-wheel drive, a transverse engine, and independent suspension – unusual features in 1957 but it remained much the same until 1989 when it acquired a (licensed) Volkswagen engine; its discontinuation followed in 1991. The 1980s model had no tachometer, no indicator for either the headlights or turn signals, no fuel gauge, no rear seat belts, and no external fuel door, and drivers had to pour a mix of gasoline and oil directly under the bonnet/hood.
4	Physics	StreetScooter	23	StreetScooter GmbH is an electric vehicle manufacturer located in Aachen, Germany. The company has been owned by Deutsche Post DHL Group since 2014.
5	Physics	Smart (marque)	65	Smart is a German automotive brand and division of Daimler AG. The company is based in Böblingen, Germany. It produces microcars and subcompacts, primarily the Fortwo and Forfour. The primary assembly plant is the Smartville in Hambach, France. A second plant exists in Novo Mesto, Slovenia. Marketed in 46 countries around the world, production of the Fortwo had surpassed 1.7 million units by early 2015.
6	Physics	Ruf Automobile	156	Ruf Automobile GmbH is a German car manufacturer that manufactures and engineers original vehicles using unmarked Porsche chassis, specifically known as bodies in white. The cars are built from the ground up as completely new cars, using these bare chassis, and assembled using Ruf-made parts and materials, instead of badge engineering or disassembly of existing cars. This means the company is officially recognized as a manufacturer by the German government. As such, all Ruf models have certified Ruf VIN and serial numbers, and are recognized as production models, rather than modified Porsches. Ruf is historically known for its record breaking 211 mph CTR, and is the largest, most renowned company to make Porsche performance enhancements. Though primarily a manufacturer, Ruf has also made a name for itself operating as a car tuner, a specialist in customer-requested Porsche-to-Ruf conversions, and a restorer of classic Porsche and Ruf models. Ruf carries out service and crash repair, as well.
7	Physics	Porsche SE	68	Porsche Automobil Holding SE, usually shortened to Porsche SE, is a German holding company with investments in the automotive industry. Porsche SE is headquartered in Zuffenhausen, a city district of Stuttgart, Baden-Württemberg and is majority owned by the Austrian Porsche and Piëch families. The company was founded in Stuttgart as Dr. Ing. h.c. F. Porsche GmbH in 1931 by Ferdinand Porsche (1875–1951) and his son-in-law Anton Piëch (1894–1952).
8	Physics	Porsche	60	Dr.-Ing. h.c. F. Porsche AG, usually shortened to Porsche AG, is a German automobile manufacturer specializing in high-performance sports cars, SUVs and sedans. The headquarters for Porsche AG is in Stuttgart, and is owned by Volkswagen AG, which itself is majority owned by Porsche Automobil Holding SE. Porsche's current lineup includes the 718 Boxster/Cayman, 911, Panamera, Macan, Cayenne and Taycan.
9	Physics	Opel Eisenach	26	Opel Eisenach GmbH is a German manufacturing company based at Eisenach in Thuringia, Germany and a subsidiary of Opel. It currently produces the Opel Grandland X.
10	Physics	Opel	67	Opel Automobile GmbH is a German automobile manufacturer, a subsidiary of French automaker Groupe PSA since August 2017. From 1929 until 2017, Opel was owned by American automaker General Motors. Opel vehicles are sold in the United Kingdom under the Vauxhall brand. Some Opel vehicles are badge-engineered in Australia under the Holden brand, and in North America and China under the Buick, Saturn, and Cadillac brands.
